sepal_length,sepal_width,petal_length,petal_width,target
8.17064044914718,2.809642194468527,11.598556846897928,3.7739476357053485,2
4.9,2.5,4.5,1.7,2
6.8,2.8,4.8,1.4,1
4.9,3.1,1.5,0.1,0
5.5,2.5,4.0,1.3,1
6.3,2.5,5.0,1.9,2
5.6,2.7,4.2,1.3,1
6.3,2.8,5.1,1.5,2
7.7,3.0,6.1,2.3,2
7.7,3.8,6.7,2.2,2
7.6,3.0,6.6,2.1,2
6.0,2.9,4.5,1.5,1
5.0,2.0,3.5,1.0,1
5.8,2.7,4.1,1.0,1
5.8,2.6,4.0,1.2,1
4.7,3.2,1.6,0.2,0
5.1,3.8,1.5,0.3,0
6.7,2.5,5.8,1.8,2
6.4,3.1,5.5,1.8,2
5.4,3.4,1.5,0.4,0
6.3,2.5,4.9,1.5,1
5.1,3.8,1.6,0.2,0
7.9,3.8,6.4,2.0,2
5.0,3.0,1.6,0.2,0
5.5,2.4,3.7,1.0,1
6.3,2.9,5.6,1.8,2
6.4,2.7,5.3,1.9,2
5.0,3.4,1.6,0.4,0
3.9846878383936883,14.442179285284153,7.254792266378472,6.89684896988508,0
3.8328653765544796,11.494026298157875,13.75710589356986,8.755624345194718,2
5.1,3.7,1.5,0.4,0
6.1,2.8,4.0,1.3,1
6.1,3.0,4.6,1.4,1
5.7,4.4,1.5,0.4,0
6.9,3.1,5.4,2.1,2
6.2,3.4,5.4,2.3,2
5.7,2.6,3.5,1.0,1
5.2,2.7,3.9,1.4,1
6.7,3.3,5.7,2.5,2
5.9,3.2,4.8,1.8,1
7.342248752698063,6.135101026257603,11.476547747422986,1.0877167887809187,0
7.0,3.2,4.7,1.4,1
5.4,3.9,1.3,0.4,0
7.4,2.8,6.1,1.9,2
4.9,3.0,1.4,0.2,0
5.1,3.5,1.4,0.3,0
5.8,2.7,5.1,1.9,2
5.0,3.2,1.2,0.2,0
4.5,2.3,1.3,0.3,0
4.8,3.0,1.4,0.1,0
4.8,3.0,1.4,0.3,0
5.6,2.9,3.6,1.3,1
4.379875965188321,2.8576128525344924,10.688435462843312,7.454697732915132,0
5.7,2.8,4.5,1.3,1
5.1,3.5,1.4,0.2,0
5.9,3.0,5.1,1.8,2
5.7,2.8,4.1,1.3,1
6.3,3.4,5.6,2.4,2
4.6,3.2,1.4,0.2,0
4.670782601006557,7.133403054101041,5.612152275232677,10.119481526410555,0
5.5,3.5,1.3,0.2,0
5.5,2.3,4.0,1.3,1
5.7,2.5,5.0,2.0,2
4.8,3.4,1.9,0.2,0
7.477207034955509,12.938943442192238,6.179615928079672,11.652168006750083,0
5.5,2.6,4.4,1.2,1
7.7,2.8,6.7,2.0,2
7.990635301262918,5.34805167926921,7.813336473135974,7.5790616721747845,2
6.5,2.8,4.6,1.5,1
6.4,3.2,5.3,2.3,2
5.1,3.4,1.5,0.2,0
5.1,3.3,1.7,0.5,0
5.0,3.6,1.4,0.2,0
6.0,2.2,5.0,1.5,2
5.8,2.7,3.9,1.2,1
7.2,3.0,5.8,1.6,2
5.5,2.4,3.8,1.1,1
6.7,3.0,5.2,2.3,2
6.3,2.7,4.9,1.8,2
6.0,3.4,4.5,1.6,1
4.9,3.1,1.5,0.2,0
5.8,2.8,5.1,2.4,2
6.2,2.2,4.5,1.5,1
5.0,3.5,1.6,0.6,0
6.9,3.2,5.7,2.3,2
5.2,4.1,1.5,0.1,0
7.2,3.6,6.1,2.5,2
5.1,2.5,3.0,1.1,1
6.7,3.1,4.7,1.5,1
4.8,3.1,1.6,0.2,0
6.2,2.9,4.3,1.3,1
1.7573542412317895,1.1821158248396109,14.741813073811947,0.9668392053692648,1
5.1,3.8,1.9,0.4,0
4.3,3.0,1.1,0.1,0
6.7,3.3,5.7,2.1,2
7.7,2.6,6.9,2.3,2
6.8,3.0,5.5,2.1,2
6.3,2.3,4.4,1.3,1
6.2,2.8,4.8,1.8,2
5.4,3.9,1.7,0.4,0
6.8,3.2,5.9,2.3,2
5.7,2.9,4.2,1.3,1
7.2,3.2,6.0,1.8,2
7.1,3.0,5.9,2.1,2
5.3,3.7,1.5,0.2,0
9.66977732140913,5.685589436424613,9.61602575080839,14.768004442206593,2
6.1,2.8,4.7,1.2,1
5.7,3.0,4.2,1.2,1
5.6,3.0,4.1,1.3,1
6.7,3.1,4.4,1.4,1
5.2,3.5,1.5,0.2,0
6.4,2.8,5.6,2.1,2
6.0,2.2,4.0,1.0,1
5.9,3.0,4.2,1.5,1
4.8,3.4,1.6,0.2,0
4.9,3.6,1.4,0.1,0
9.088387635630268,4.200332934205487,14.957967729511536,4.753955972484728,1
8.591549670579411,6.248341138290527,2.5795028897876064,2.182944124285962,1
6.9,3.1,4.9,1.5,1
4.6,3.1,1.5,0.2,0
