sepal_length,sepal_width,petal_length,petal_width,species,iris_id,event_timestamp
5.1,3.5,1.4,0.2,setosa,0,2026-07-05 05:36:59.960073
4.9,3.0,1.4,0.2,setosa,1,2026-07-05 05:36:59.960073
4.7,3.2,1.3,0.2,setosa,2,2026-07-05 05:36:59.960073
4.6,3.1,1.5,0.2,setosa,3,2026-07-05 05:36:59.960073
5.0,3.6,1.4,0.2,setosa,4,2026-07-05 05:36:59.960073
5.4,3.9,1.7,0.4,setosa,5,2026-07-05 05:36:59.960073
4.6,3.4,1.4,0.3,setosa,6,2026-07-05 05:36:59.960073
5.0,3.4,1.5,0.2,setosa,7,2026-07-05 05:36:59.960073
4.4,2.9,1.4,0.2,setosa,8,2026-07-05 05:36:59.960073
4.9,3.1,1.5,0.1,setosa,9,2026-07-05 05:36:59.960073
5.4,3.7,1.5,0.2,setosa,10,2026-07-05 05:36:59.960073
4.8,3.4,1.6,0.2,setosa,11,2026-07-05 05:36:59.960073
4.8,3.0,1.4,0.1,setosa,12,2026-07-05 05:36:59.960073
4.3,3.0,1.1,0.1,setosa,13,2026-07-05 05:36:59.960073
5.8,4.0,1.2,0.2,setosa,14,2026-07-05 05:36:59.960073
5.7,4.4,1.5,0.4,setosa,15,2026-07-05 05:36:59.960073
5.4,3.9,1.3,0.4,setosa,16,2026-07-05 05:36:59.960073
5.1,3.5,1.4,0.3,setosa,17,2026-07-05 05:36:59.960073
5.7,3.8,1.7,0.3,setosa,18,2026-07-05 05:36:59.960073
5.1,3.8,1.5,0.3,setosa,19,2026-07-05 05:36:59.960073
5.4,3.4,1.7,0.2,setosa,20,2026-07-05 05:36:59.960073
5.1,3.7,1.5,0.4,setosa,21,2026-07-05 05:36:59.960073
4.6,3.6,1.0,0.2,setosa,22,2026-07-05 05:36:59.960073
5.1,3.3,1.7,0.5,setosa,23,2026-07-05 05:36:59.960073
4.8,3.4,1.9,0.2,setosa,24,2026-07-05 05:36:59.960073
5.0,3.0,1.6,0.2,setosa,25,2026-07-05 05:36:59.960073
5.0,3.4,1.6,0.4,setosa,26,2026-07-05 05:36:59.960073
5.2,3.5,1.5,0.2,setosa,27,2026-07-05 05:36:59.960073
5.2,3.4,1.4,0.2,setosa,28,2026-07-05 05:36:59.960073
4.7,3.2,1.6,0.2,setosa,29,2026-07-05 05:36:59.960073
4.8,3.1,1.6,0.2,setosa,30,2026-07-05 05:36:59.960073
5.4,3.4,1.5,0.4,setosa,31,2026-07-05 05:36:59.960073
5.2,4.1,1.5,0.1,setosa,32,2026-07-05 05:36:59.960073
5.5,4.2,1.4,0.2,setosa,33,2026-07-05 05:36:59.960073
4.9,3.1,1.5,0.1,setosa,34,2026-07-05 05:36:59.960073
5.0,3.2,1.2,0.2,setosa,35,2026-07-05 05:36:59.960073
5.5,3.5,1.3,0.2,setosa,36,2026-07-05 05:36:59.960073
4.9,3.1,1.5,0.1,setosa,37,2026-07-05 05:36:59.960073
4.4,3.0,1.3,0.2,setosa,38,2026-07-05 05:36:59.960073
5.1,3.4,1.5,0.2,setosa,39,2026-07-05 05:36:59.960073
5.0,3.5,1.3,0.3,setosa,40,2026-07-05 05:36:59.960073
4.5,2.3,1.3,0.3,setosa,41,2026-07-05 05:36:59.960073
4.4,3.2,1.3,0.2,setosa,42,2026-07-05 05:36:59.960073
5.0,3.5,1.6,0.6,setosa,43,2026-07-05 05:36:59.960073
5.1,3.8,1.9,0.4,setosa,44,2026-07-05 05:36:59.960073
4.8,3.0,1.4,0.3,setosa,45,2026-07-05 05:36:59.960073
5.1,3.8,1.6,0.2,setosa,46,2026-07-05 05:36:59.960073
4.6,3.2,1.4,0.2,setosa,47,2026-07-05 05:36:59.960073
5.3,3.7,1.5,0.2,setosa,48,2026-07-05 05:36:59.960073
5.0,3.3,1.4,0.2,setosa,49,2026-07-05 05:36:59.960073
7.0,3.2,4.7,1.4,versicolor,50,2026-07-05 05:36:59.960073
6.4,3.2,4.5,1.5,versicolor,51,2026-07-05 05:36:59.960073
6.9,3.1,4.9,1.5,versicolor,52,2026-07-05 05:36:59.960073
5.5,2.3,4.0,1.3,versicolor,53,2026-07-05 05:36:59.960073
6.5,2.8,4.6,1.5,versicolor,54,2026-07-05 05:36:59.960073
5.7,2.8,4.5,1.3,versicolor,55,2026-07-05 05:36:59.960073
6.3,3.3,4.7,1.6,versicolor,56,2026-07-05 05:36:59.960073
4.9,2.4,3.3,1.0,versicolor,57,2026-07-05 05:36:59.960073
6.6,2.9,4.6,1.3,versicolor,58,2026-07-05 05:36:59.960073
5.2,2.7,3.9,1.4,versicolor,59,2026-07-05 05:36:59.960073
5.0,2.0,3.5,1.0,versicolor,60,2026-07-05 05:36:59.960073
5.9,3.0,4.2,1.5,versicolor,61,2026-07-05 05:36:59.960073
6.0,2.2,4.0,1.0,versicolor,62,2026-07-05 05:36:59.960073
6.1,2.9,4.7,1.4,versicolor,63,2026-07-05 05:36:59.960073
5.6,2.9,3.6,1.3,versicolor,64,2026-07-05 05:36:59.960073
6.7,3.1,4.4,1.4,versicolor,65,2026-07-05 05:36:59.960073
5.6,3.0,4.5,1.5,versicolor,66,2026-07-05 05:36:59.960073
5.8,2.7,4.1,1.0,versicolor,67,2026-07-05 05:36:59.960073
6.2,2.2,4.5,1.5,versicolor,68,2026-07-05 05:36:59.960073
5.6,2.5,3.9,1.1,versicolor,69,2026-07-05 05:36:59.960073
5.9,3.2,4.8,1.8,versicolor,70,2026-07-05 05:36:59.960073
6.1,2.8,4.0,1.3,versicolor,71,2026-07-05 05:36:59.960073
