sepal_length,sepal_width,petal_length,petal_width,species,iris_id,event_timestamp
4.8,3.1,1.6,0.2,setosa,30,2026-07-05 07:18:21.148732
5.5,2.6,4.4,1.2,versicolor,90,2026-07-05 07:18:21.148732
6.9,3.1,5.1,2.3,virginica,141,2026-07-05 07:18:21.148732
4.9,3.1,1.5,0.1,setosa,9,2026-07-05 07:18:21.148732
4.8,3.0,1.4,0.1,setosa,12,2026-07-05 07:18:21.148732
5.6,2.7,4.2,1.3,versicolor,94,2026-07-05 07:18:21.148732
4.4,2.9,1.4,0.2,setosa,8,2026-07-05 07:18:21.148732
5.6,2.5,3.9,1.1,versicolor,69,2026-07-05 07:18:21.148732
5.0,2.0,3.5,1.0,versicolor,60,2026-07-05 07:18:21.148732
4.9,3.1,1.5,0.1,setosa,34,2026-07-05 07:18:21.148732
4.6,3.2,1.4,0.2,setosa,47,2026-07-05 07:18:21.148732
6.7,3.3,5.7,2.5,virginica,144,2026-07-05 07:18:21.148732
6.9,3.2,5.7,2.3,virginica,120,2026-07-05 07:18:21.148732
7.7,3.8,6.7,2.2,virginica,117,2026-07-05 07:18:21.148732
5.0,3.6,1.4,0.2,setosa,4,2026-07-05 07:18:21.148732
6.6,2.9,4.6,1.3,versicolor,58,2026-07-05 07:18:21.148732
6.8,2.8,4.8,1.4,versicolor,154,2026-07-05 07:18:21.148732
5.0,3.4,1.6,0.4,setosa,26,2026-07-05 07:18:21.148732
5.5,2.4,3.7,1.0,versicolor,81,2026-07-05 07:18:21.148732
6.2,2.9,4.3,1.3,versicolor,97,2026-07-05 07:18:21.148732
6.7,3.1,4.4,1.4,versicolor,65,2026-07-05 07:18:21.148732
5.5,3.5,1.3,0.2,setosa,36,2026-07-05 07:18:21.148732
5.0,3.0,1.6,0.2,setosa,25,2026-07-05 07:18:21.148732
6.0,2.2,4.0,1.0,versicolor,62,2026-07-05 07:18:21.148732
5.6,2.5,3.9,1.1,versicolor,167,2026-07-05 07:18:21.148732
7.4,2.8,6.1,1.9,virginica,130,2026-07-05 07:18:21.148732
6.3,2.5,4.9,1.5,versicolor,72,2026-07-05 07:18:21.148732
6.7,3.1,4.7,1.5,versicolor,86,2026-07-05 07:18:21.148732
6.9,3.1,5.1,2.3,virginica,157,2026-07-05 07:18:21.148732
6.2,2.2,4.5,1.5,versicolor,158,2026-07-05 07:18:21.148732
5.2,3.5,1.5,0.2,setosa,27,2026-07-05 07:18:21.148732
6.3,2.3,4.4,1.3,versicolor,87,2026-07-05 07:18:21.148732
5.5,3.5,1.3,0.2,setosa,162,2026-07-05 07:18:21.148732
6.2,2.2,4.5,1.5,versicolor,68,2026-07-05 07:18:21.148732
6.1,2.8,4.7,1.2,versicolor,150,2026-07-05 07:18:21.148732
6.5,3.2,5.1,2.0,virginica,110,2026-07-05 07:18:21.148732
6.5,3.2,5.1,2.0,virginica,160,2026-07-05 07:18:21.148732
5.1,3.5,1.4,0.3,setosa,17,2026-07-05 07:18:21.148732
5.9,3.0,4.2,1.5,versicolor,61,2026-07-05 07:18:21.148732
5.1,3.8,1.6,0.2,setosa,46,2026-07-05 07:18:21.148732
5.8,2.7,3.9,1.2,versicolor,82,2026-07-05 07:18:21.148732
5.0,3.3,1.4,0.2,setosa,49,2026-07-05 07:18:21.148732
5.1,3.8,1.5,0.3,setosa,19,2026-07-05 07:18:21.148732
7.6,3.0,6.6,2.1,virginica,105,2026-07-05 07:18:21.148732
5.8,2.7,3.9,1.2,versicolor,159,2026-07-05 07:18:21.148732
4.6,3.4,1.4,0.3,setosa,6,2026-07-05 07:18:21.148732
4.9,3.1,1.5,0.1,setosa,163,2026-07-05 07:18:21.148732
4.3,3.0,1.1,0.1,setosa,13,2026-07-05 07:18:21.148732
6.0,2.2,5.0,1.5,virginica,119,2026-07-05 07:18:21.148732
6.5,3.0,5.8,2.2,virginica,104,2026-07-05 07:18:21.148732
6.7,3.0,5.0,1.7,versicolor,77,2026-07-05 07:18:21.148732
5.4,3.9,1.3,0.4,setosa,16,2026-07-05 07:18:21.148732
6.8,3.2,5.9,2.3,virginica,143,2026-07-05 07:18:21.148732
6.1,2.8,4.0,1.3,versicolor,71,2026-07-05 07:18:21.148732
5.7,2.6,3.5,1.0,versicolor,79,2026-07-05 07:18:21.148732
4.5,2.3,1.3,0.3,setosa,41,2026-07-05 07:18:21.148732
7.7,2.6,6.9,2.3,virginica,118,2026-07-05 07:18:21.148732
5.2,4.1,1.5,0.1,setosa,32,2026-07-05 07:18:21.148732
5.8,2.7,5.1,1.9,virginica,101,2026-07-05 07:18:21.148732
6.5,3.0,5.8,2.2,virginica,166,2026-07-05 07:18:21.148732
4.8,3.0,1.4,0.1,setosa,161,2026-07-05 07:18:21.148732
6.1,2.8,4.7,1.2,versicolor,73,2026-07-05 07:18:21.148732
6.7,3.0,5.2,2.3,virginica,145,2026-07-05 07:18:21.148732
6.4,2.9,4.3,1.3,versicolor,74,2026-07-05 07:18:21.148732
6.3,3.3,4.7,1.6,versicolor,165,2026-07-05 07:18:21.148732
6.3,2.9,5.6,1.8,virginica,103,2026-07-05 07:18:21.148732
5.7,3.0,4.2,1.2,versicolor,95,2026-07-05 07:18:21.148732
6.3,2.5,5.0,1.9,virginica,146,2026-07-05 07:18:21.148732
5.4,3.9,1.7,0.4,setosa,5,2026-07-05 07:18:21.148732
6.8,2.8,4.8,1.4,versicolor,76,2026-07-05 07:18:21.148732
4.6,3.1,1.5,0.2,setosa,3,2026-07-05 07:18:21.148732
5.8,2.8,5.1,2.4,virginica,114,2026-07-05 07:18:21.148732
5.6,3.0,4.1,1.3,versicolor,88,2026-07-05 07:18:21.148732
6.4,3.2,5.3,2.3,virginica,115,2026-07-05 07:18:21.148732
7.0,3.2,4.7,1.4,versicolor,50,2026-07-05 07:18:21.148732
4.8,3.4,1.6,0.2,setosa,11,2026-07-05 07:18:21.148732
5.8,2.6,4.0,1.2,versicolor,92,2026-07-05 07:18:21.148732
5.7,4.4,1.5,0.4,setosa,15,2026-07-05 07:18:21.148732
7.7,3.0,6.1,2.3,virginica,135,2026-07-05 07:18:21.148732
5.7,2.8,4.5,1.3,versicolor,168,2026-07-05 07:18:21.148732
6.5,2.8,4.6,1.5,versicolor,54,2026-07-05 07:18:21.148732
7.2,3.6,6.1,2.5,virginica,109,2026-07-05 07:18:21.148732
